Date,Population (000s),New arrivals (immigrants) Nos.,Employed - full-time Persons ('000),Employed - Total Persons ('000),Unemployed - looking for full-time work Persons ('000),Unemployment (% ),NAB Business Conditions,NAB Business Confidence,Gross disposable household income (AUD bn),Avg. weekly Earnings; Persons; Full Time; Adult; Ordinary time earnings (AUD),Purchase of vehicles: Chain volume measures (AUD bn),Rent and other dwelling services: Chain volume measures (AUD bn),Recreation and culture: Chain volume measures (AUD bn),Food: Chain volume measures (AUD bn),Final Consumption Expenduture: Chain volume measures (AUD bn),Total Liabilities (including share capital) (AUD bn) ,Total Liabilities - Loans and placements (AUD bn),Interest Rates (%),Total New Vehicle Sales (000),New Motor Cars and station wagons Personal Finance (AUD bn),Used Motor Cars and station wagons (AUD bn),Aust. Passenger vehicles nos.,Aust. Sports utility vehicles nos. ,Average Age of Motor Vehicles (years),Oil Prices (USD / bbl),AUDUSD,AUDJPY,AUDEUR,Trade Weighted Index
1/04/94,0.00062645,-0.046956522,-0.000256302,0.003036058,-0.051625573,-0.019187908,,,0.00584917,0.003121919,-0.002101799,0.003160311,0.006850921,0.005708332,0.003714999,0.014345992,0.014022253,0,0.009383297,-0.242553419,-0.241461097,-0.226201606,-0.391268363,0.001579789,0.142663962,0.016552511,0.002220988,,0.009596929
1/05/94,0.000626058,0.065693431,0.003593871,0.003677168,-0.036802692,-0.02099469,,,0.00584917,0.003712804,-0.002101798,0.003160311,0.006850921,0.005708332,0.003714998,0.014143095,0.013828348,0,0.008934667,0.257362142,0.17056572,0.189008334,0.40210741,0.001577297,0.083431953,0.033267827,0.064404432,,0.038022814
1/06/94,0.000625666,0.205479452,0.005258122,0.003907141,-0.023665262,-0.022333237,,,0.00584917,0.00369907,-0.002101799,0.003160311,0.006850921,0.005708332,0.003714999,0.013945857,0.013639733,0,0.011343058,0.103355177,0.0384271,0.13238666,0.187393939,0.001574812,0.057891862,-0.009509578,-0.060507482,,-0.029304029
1/07/94,0.001007179,-0.049715909,0.010785533,0.003808402,-0.044194042,-0.022497767,,,0.003718362,0.003685437,0.014128349,0.003179148,0.007012642,0.003618206,0.003742818,0.011596548,0.010238409,0,0.013498357,-0.057843441,-0.053983687,-0.128782127,-0.315434871,0.001572337,0.04801239,0.013989851,0.02299169,,0.016981132
1/08/94,0.001006166,0.041853513,-0.01614527,0.003388726,0.005515532,-0.020594558,,,0.003718362,0.002591933,0.014128348,0.003179148,0.007012642,0.003618206,0.003742818,0.011463609,0.010134646,0.157894737,0.014871765,0.058959555,0.124733416,0.064863723,0.16403221,0.001569869,-0.134975369,0.004328419,-0.000541565,,0
1/09/94,0.001005155,0.035868006,0.025047916,0.002939137,-0.006194539,-0.017411371,,,0.003718362,0.002585232,0.014128346,0.003179148,0.007012642,0.003618206,0.003742818,0.011333685,0.010032965,0,0.01369732,-0.039264503,-0.087941111,0.0015625,-0.095823725,0.001567408,0.047266515,-0.004309764,-0.012733677,,-0.009276438
1/10/94,0.000636457,-0.040166205,-0.007410734,0.002547581,-0.068032145,-0.01417653,,,0.003099143,0.002578566,0.032989134,0.002867447,0.008706784,0.003759874,0.004437532,0.006645817,0.010075209,0.181818182,0.010398385,-0.025586086,-0.032828189,-0.014436768,0.064324171,0.001564955,-0.010875476,0.00392263,-0.008644347,,-0.005617978
1/11/94,0.000636051,0.062049062,0.001012491,0.002531523,0.001921212,-0.012665655,,,0.003099143,0.004179392,0.032989135,0.002867447,0.008706784,0.003759874,0.004437532,0.006601942,0.009974712,0,0.003249907,0.155551704,0.150422617,0.103341709,0.154685836,0.00156251,-0.007696537,0.033953112,0.050934256,,0.04519774
1/12/94,0.000635648,0.033967391,0.017545466,0.002860353,0.051096588,-0.012289598,,,0.003099143,0.004161998,0.032989133,0.002867447,0.008706784,0.003759874,0.004437532,0.006558642,0.0098762,0,-0.000353725,-0.045013693,-0.130133619,-0.110240703,-0.194604565,0.001560072,-0.016066482,0.012249153,0.021467141,,0.012612613
1/01/95,0.001084199,0.006570302,-0.015856822,0.003327092,0.072155745,-0.01235922,,,0.003975823,0.004144747,0.015482298,0.002435648,0.006950251,0.00238231,0.003040736,0.00753801,0.008264463,0.153846154,0.000223484,-0.098206672,0.061847603,-0.131296069,-0.181505869,0.001637609,0.035472973,-0.023815654,-0.036230015,,-0.03024911
