"Features","Lag","Correlation"
"Population (000s)","0","-0.135019814589887"
"New arrivals (immigrants) Nos.","0","0.0229040856567081"
"Employed - full-time Persons ('000)","0","0.0625872049601025"
"Employed - Total Persons ('000)","-11","-0.309948751783881"
"Unemployed - looking for full-time work Persons ('000)","0","-0.092731194399334"
"Unemployment (% )","5","-0.354194698818507"
"NAB Business Conditions","-1","0.20003626414795"
"NAB Business Confidence","12","-0.174784015310092"
"Gross disposable household income (AUD bn)","0","0.0119929147592155"
"Avg. weekly Earnings; Persons; Full Time; Adult; Ordinary time earnings (AUD)","0","0.02924012657034"
"Purchase of vehicles: Chain volume measures (AUD bn)","1","0.58718273315178"
"Rent and other dwelling services: Chain volume measures (AUD bn)","0","0.0464853974389322"
"Recreation and culture: Chain volume measures (AUD bn)","0","0.117826606640194"
"Food: Chain volume measures (AUD bn)","0","-0.0563324452894051"
"Final Consumption Expenduture: Chain volume measures (AUD bn)","3","0.281490452565006"
"Total Liabilities (including share capital) (AUD bn) ","0","0.0538274677199538"
"Total Liabilities - Loans and placements (AUD bn)","0","0.0352651050055595"
"Interest Rates (%)","-9","-0.233241640302701"
"New Motor Cars and station wagons Personal Finance (AUD bn)","1","0.212042917717501"
"Used Motor Cars and station wagons (AUD bn)","0","-0.0788292951854809"
"Aust. Passenger vehicles nos.","0","0.208323495393918"
"Aust. Sports utility vehicles nos. ","0","0.117156951876236"
"Average Age of Motor Vehicles (years)","0","0.0852973133688753"
"Oil Prices (USD / bbl)","0","0.0723218751935923"
"AUDUSD","-1","0.18507027133383"
"AUDJPY","0","0.147014187953468"
"AUDEUR","-12","-0.18708508653385"
"Trade Weighted Index","-1","0.190493440072426"
