Date,Population (000s),New arrivals (immigrants) Nos.,Employed - full-time Persons ('000),Employed - Total Persons ('000),Unemployed - looking for full-time work Persons ('000),Unemployment (% ),NAB Business Conditions,NAB Business Confidence,Gross disposable household income (AUD bn),Avg. weekly Earnings; Persons; Full Time; Adult; Ordinary time earnings (AUD),Purchase of vehicles: Chain volume measures (AUD bn),Rent and other dwelling services: Chain volume measures (AUD bn),Recreation and culture: Chain volume measures (AUD bn),Food: Chain volume measures (AUD bn),Final Consumption Expenduture: Chain volume measures (AUD bn),Total Liabilities (including share capital) (AUD bn) ,Total Liabilities - Loans and placements (AUD bn),Interest Rates (%),New Motor Cars and station wagons Personal Finance (AUD bn),Used Motor Cars and station wagons (AUD bn),Aust. Passenger vehicles nos.,Aust. Sports utility vehicles nos. ,Average Age of Motor Vehicles (years),Oil Prices (USD / bbl),AUDUSD,AUDJPY,AUDEUR,Trade Weighted Index,Total New Vehicle Sales (000)
1/03/94,17772.1,5750,5937.506007,7802.497602,764.171017,11.0895934,-4.544358748,9.215172214,26.40787497,608.6,0.53389588,8.39443785,2.705679054,4.216916074,35.79802489,237,218.7,4.75,0.205732,0.451551,41715,4833,10.03267532,14.79,0.7008,72.04,0.5506,52.1,49.343
1/04/94,17783.23333,5480,5935.984215,7826.186438,724.7202502,10.8768073,-4.544358748,9.215172214,26.56233913,610.5,0.532773738,8.420966882,2.724215447,4.24098763,35.9310145,240.4,221.7666667,4.75,0.155831,0.342519,32279,2942,10.04852483,16.9,0.7124,72.2,0.5506,52.6,49.806
1/05/94,17794.36667,5840,5957.317377,7854.964639,698.0485944,10.6484521,-4.544358748,9.215172214,26.71770677,612.7666667,0.531653955,8.447579753,2.742878831,4.265196595,36.06449816,243.8,224.8333333,4.75,0.195936,0.400941,38380,4125,10.06437434,18.31,0.7361,76.85,0.5506,54.6,50.251
1/06/94,17805.5,7040,5988.641676,7885.655091,681.5290916,10.4106377,-4.544358748,9.215172214,26.87398319,615.0333333,0.530536525,8.474276729,2.761670076,4.289543752,36.19847772,247.2,227.9,4.75,0.216187,0.416348,43461,4898,10.08022384,19.37,0.7291,72.2,0.5506,53,50.821
1/07/94,17823.43333,6690,6053.232366,7915.686838,651.409566,10.1764216,-4.544358748,9.215172214,26.9739104,617.3,0.53803213,8.501217713,2.78103668,4.305064205,36.33396203,250.0666667,230.2333333,4.75,0.203682,0.393872,37864,3353,10.09607335,20.3,0.7393,73.86,0.5506,53.9,51.507
1/08/94,17841.36667,6970,5955.501296,7942.51093,655.0024365,9.9668427,-4.544358748,9.215172214,27.07420917,618.9,0.545633635,8.528244346,2.800539095,4.320640813,36.46995343,252.9333333,232.5666667,5.5,0.215691,0.443001,40320,3903,10.11192286,17.56,0.7425,73.82,0.5506,53.9,52.273
1/09/94,17859.3,7220,6104.674194,7965.855059,650.9449982,9.7933063,-4.544358748,9.215172214,27.17488089,620.5,0.553342536,8.5553569,2.820178274,4.336273782,36.60645383,255.8,234.9,5.5,0.207222,0.404043,40383,3529,10.12777237,18.39,0.7393,72.88,0.5506,53.4,52.989
1/10/94,17870.66667,6930,6059.43408,7986.148722,606.6598139,9.6544712,-4.544358748,9.215172214,27.25909973,622.1,0.571596827,8.579888933,2.844732957,4.352577624,36.76889614,257.5,237.2666667,6.5,0.20192,0.390779,39800,3756,10.14362188,18.19,0.7422,72.25,0.5506,53.1,53.54
1/11/94,17882.03333,7360,6065.569205,8006.365843,607.8253359,9.532191,-4.544358748,9.215172214,27.34357957,624.7,0.590453312,8.604491311,2.869501431,4.368942767,36.9320593,259.2,239.6333333,6.5,0.233329,0.449561,43913,4337,10.15947139,18.05,0.7674,75.93,0.5506,55.5,53.714
1/12/94,17893.4,7610,6171.992446,8029.266879,638.8831367,9.4150442,-4.544358748,9.215172214,27.42832122,627.3,0.609931855,8.629164234,2.89448556,4.385369441,37.0959465,260.9,242,6.5,0.222826,0.391058,39072,3493,10.1753209,17.76,0.7768,77.56,0.5506,56.2,53.695
1/01/95,17912.8,7660,6074.124258,8055.980991,684.9822251,9.2986816,-4.544358748,9.215172214,27.53737137,629.9,0.619375002,8.650181839,2.914602962,4.395816751,37.20874548,262.8666667,244,7.5,0.200943,0.415244,33942,2859,10.1919841,18.39,0.7583,74.75,0.5506,54.5,53.707
1/02/95,17932.2,7110,6143.147659,8085.449411,691.3691486,9.1898431,-4.544358748,9.215172214,27.64685508,633,0.628964351,8.671250635,2.934860184,4.40628895,37.32188745,264.8333333,246,7.5,0.216335,0.417999,38449,3275,10.2086473,18.49,0.7395,71.75,0.5506,52.9,53.774
1/03/95,17951.6,7320,6110.00257,8115.668267,627.0235575,9.091069,-4.544358748,9.215172214,27.75677408,636.1,0.638702165,8.692370747,2.9552582,4.416786097,37.43537346,266.8,248,7.5,0.256196,0.501317,45862,4404,10.22531051,19.17,0.728,64.92,0.5506,50.7,53.889
1/04/95,17969.36667,7790,6163.679562,8145.606081,593.352763,9.0049586,-4.544358748,9.215172214,27.89939793,639.2,0.635340852,8.710301828,2.971857725,4.429524907,37.52986037,269.9666667,250.4,7.5,0.19459,0.367266,33598,3083,10.24197371,20.38,0.7299,61.04,0.5506,49.6,54.048
1/05/95,17987.13333,6890,6161.964727,8171.19599,609.7634086,8.9424772,-4.544358748,9.215172214,28.04275463,642.2333333,0.631997228,8.728269899,2.98855049,4.442300458,37.62458576,273.1333333,252.8,7.5,0.252263,0.48963,48234,4260,10.25863691,18.89,0.7138,59.45,0.5506,48.5,54.103
1/06/95,18004.9,7900,6180.580855,8191.496358,594.2033715,8.909467,-4.544358748,9.215172214,28.18684795,645.2666667,0.628671201,8.746275035,3.005337016,4.455112856,37.71955024,276.3,255.2,7.5,0.218689,0.471773,45813,5337,10.27530012,17.4,0.7086,60.08,0.5506,48.4,53.891
1/07/95,18024,8420,6238.294014,8207.694609,579.9785691,8.9015926,-4.544358748,9.215172214,28.33937308,648.3,0.619663055,8.767091699,3.024703984,4.469342812,37.81775681,279,257.1,7.5,0.182097,0.451837,36810,3464,10.29196332,17.56,0.7389,65.31,0.5506,51,53.415
1/08/95,18043.1,8210,6160.870986,8221.554475,581.1098673,8.9039473,-4.544358748,9.215172214,28.49272356,650.2666667,0.610783985,8.787957908,3.044195756,4.48361822,37.91621907,281.7,259,7.5,0.208734,0.496372,44372,3982,10.30862652,17.84,0.7524,73.55,0.5506,53.9,52.996
1/09/95,18062.2,8250,6263.640893,8235.84365,598.0811879,8.9050765,-4.544358748,9.215172214,28.64690385,652.2333333,0.602032143,8.80887378,3.063813136,4.497939224,38.01493769,284.4,260.9,7.5,0.188277,0.440899,38599,3439,10.32528973,17.54,0.755,74.22,0.5506,53.8,52.653
1/10/95,18081.33333,8660,6228.531095,8250.331829,585.9891524,8.9001752,-4.544358748,9.215172214,28.82537625,654.2,0.602505724,8.832059836,3.084430882,4.504932267,38.11695079,287.5,263.8666667,7.5,0.201535,0.451519,39818,3688,10.34195293,17.64,0.7566,76.98,0.5506,54.3,52.606
1/11/95,18100.46667,8960,6244.649625,8264.122414,585.4024931,8.893284,-4.544358748,9.215172214,29.00496055,656.4666667,0.602979678,8.855306921,3.105187374,4.511936181,38.21923764,290.6,266.8333333,7.5,0.220402,0.468713,42137,4189,10.35861613,18.18,0.7469,75.83,0.5506,53.8,52.77
1/12/95,18119.6,9800,6360.14054,8275.145429,599.9495054,8.8881304,-4.544358748,9.215172214,29.18566368,658.7333333,0.603454004,8.878615195,3.126083546,4.518950985,38.32179898,293.7,269.8,7.5,0.198164,0.397174,40738,3726,10.37527934,19.55,0.745,76.66,0.5506,53.9,53.053
1/01/96,18138.4,9400,6265.503622,8282.92192,663.8904462,8.8745824,-4.544358748,9.215172214,29.32356369,661,0.613787041,8.902264267,3.150693073,4.515906737,38.42471953,296.2666667,271.9666667,7.5,0.210579,0.484694,32623,3324,10.38594154,17.74,0.7447,79.88,0.5506,54.7,53.31
1/02/96,18157.2,8200,6259.603563,8287.476941,670.8624007,8.845352,-4.544358748,9.215172214,29.46211528,662.7,0.624297013,8.925976332,3.175496333,4.51286454,38.52791649,298.8333333,274.1333333,7.5,0.208879,0.48052,41870,3822,10.39660375,19.54,0.7635,79.85,0.5506,55.5,53.657
1/03/96,18176,8420,6220.238569,8290.294717,620.5187444,8.8126388,-4.544358748,9.215172214,29.60132151,664.4,0.634986948,8.949751555,3.200494853,4.509824392,38.6313906,301.4,276.3,7.5,0.21743,0.484005,42720,4205,10.40726595,21.47,0.7793,83,0.5506,56.8,54.007
1/04/96,18192.26667,7170,6207.567788,8292.567495,612.5810908,8.7923075,-4.544358748,9.215172214,29.72017571,666.1,0.641439448,8.970322197,3.223582542,4.502334758,38.70543446,305.3333333,279.7666667,7.5,0.2076,0.445743,36853,3308,10.41792816,21.2,0.7854,81.88,0.5506,57.1,54.246
1/05/96,18208.53333,6330,6230.55112,8296.029381,594.9906891,8.7902932,-4.544358748,9.215172214,29.83950713,668.7,0.647957517,8.99094012,3.246836781,4.494857562,38.77962024,309.2666667,283.2333333,7.5,0.23981,0.508839,45077,4475,10.42859036,19.76,0.7983,86.36,0.5506,58.7,54.411
1/06/96,18224.8,7300,6222.894242,8299.711406,568.7068171,8.8063206,-4.544358748,9.215172214,29.95931769,671.3,0.654541819,9.011605432,3.270258771,4.487392784,38.85394822,313.2,286.7,7.5,0.221328,0.44644,46122,4448,10.43925257,20.92,0.789,86.48,0.5506,58.1,54.53
1/07/96,18243.63333,7530,6303.832948,8301.175793,574.5376214,8.8392344,-4.544358748,9.215172214,30.08199039,673.9,0.656763022,9.029079783,3.284210977,4.478116373,38.90626274,315,288.4,7,0.228604,0.481391,41524,3863,10.44991477,20.42,0.7731,83.05,0.5506,56.5,54.513
1/08/96,18262.46667,7740,6208.363741,8301.10432,608.929909,8.882545,-4.544358748,9.215172214,30.2051654,675.2666667,0.658991762,9.046588019,3.298222709,4.468859139,38.95864769,316.8,290.1,7,0.212757,0.462799,41920,4156,10.46057698,22.25,0.7909,85.7,0.5506,57.9,54.309
1/09/96,18281.3,7420,6273.93482,8301.406206,615.404057,8.9223695,-4.544358748,9.215172214,30.32884476,676.6333333,0.661228065,9.064130204,3.31229422,4.459621042,39.01110318,318.6,291.8,7,0.211513,0.43998,38617,4045,10.47123919,24.38,0.7924,88.09,0.5506,58.5,54.097
