"V1","V2","V3","V4","V5"
"lm, Var_1 ~ Var_2 + Var_29 + Var_79 + Var_81 + Var_145 + Var_154 + Var_219, dt","F(7,27)","Prob > P","R-Squared","Adj-R2"
"","896.310","0.000","0.996","0.995"
"","","","",""
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","-10811.919","  1346.522","    -8.030","     0.000"
"Var_2","     0.006","     0.001","    11.027","     0.000"
"Var_29","  1359.103","   564.937","     2.406","     0.023"
"Var_79","  -359.819","    91.320","    -3.940","     0.001"
"Var_81","     0.000","     0.000","     2.761","     0.010"
"Var_145","    -0.116","     0.080","    -1.457","     0.157"
"Var_154","   372.096","    84.729","     4.392","     0.000"
"Var_219","    27.894","    13.248","     2.105","     0.045"
