V1,modelExp
Intercept,11023.7428571429
Cows,446.113761046412
MS,-5188.06754111812
Fat,5946.53156497404
Protein,3363.54744024482
Herd,74.126022105499
Adjusted savings: energy depletion (current US$),-8.00666211716266
Agriculture value added per worker (constant 2005 US$),63.7057998847932
Arms imports (SIPRI trend indicator values),8.33169875765155
Changes in inventories (current US$),-29.4935378367351
DEC alternative conversion factor (LCU per US$),60.7575730623826
External balance on goods and services (current US$),-7.10734191742734
Fertility rate, total (births per woman),-7.3919252079153
Fixed telephone subscriptions (per 100 people),-67.346113188691
Foreign direct investment, net inflows (BoP, current US$),0.631420599939029
Forest rents (% of GDP),-10.2873527031767
Fossil fuel energy consumption (% of total),39.4786698799695
