"","rawNames","newNames"
"1","Inflation, consumer prices (annual %)","Var_147"
"2","Inflation, GDP deflator (annual %)","Var_148"
"3","Land under cereal production (hectares)","Var_150"
"4","Life expectancy at birth, total (years)","Var_153"
"5","Livestock production index (2004-2006 = 100)","Var_154"
"6","Manufacturing, value added (constant 2005 US$)","Var_158"
"7","Merchandise exports (current US$)","Var_160"
"8","Mortality rate, infant (per 1,000 live births)","Var_183"
"9","Natural gas rents (% of GDP)","Var_184"
"10","Net current transfers from abroad (constant LCU)","Var_185"
"11","Number of under-five deaths","Var_187"
"12","Official exchange rate (LCU per US$, period average)","Var_188"
"13","Oil rents (% of GDP)","Var_189"
"14","Permanent cropland (% of land area)","Var_194"
"15","Real effective exchange rate index (2010 = 100)","Var_206"
"16","Rural population","Var_207"
"17","Total natural resources rents (% of GDP)","Var_212"
"18","Trade (% of GDP)","Var_215"
