"","rawNames","newNames"
"1","Adjusted savings: energy depletion (current US$)","Var_18"
"2","Agriculture value added per worker (constant 2005 US$)","Var_30"
"3","Arms imports (SIPRI trend indicator values)","Var_41"
"4","Changes in inventories (current US$)","Var_46"
"5","DEC alternative conversion factor (LCU per US$)","Var_50"
"6","External balance on goods and services (current US$)","Var_63"
"7","Fertility rate, total (births per woman)","Var_64"
"8","Fixed telephone subscriptions (per 100 people)","Var_76"
"9","Foreign direct investment, net inflows (BoP, current US$)","Var_81"
"10","Forest rents (% of GDP)","Var_82"
"11","Fossil fuel energy consumption (% of total)","Var_83"
