"V1","V2","V3","V4","V5"
"lm, Var_154 ~ Var_6 + Var_30 + Var_91 + Var_220 + Var_221, dt[, -c(1, 2, 5, 8, 9, 11, 14)]","F(5,29)","Prob > P","R-Squared","Adj-R2"
"","68.351","0.000","0.922","0.908"
"","","","",""
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","89.301","43.707"," 2.043"," 0.050"
"Var_6","-0.005"," 0.001","-3.219"," 0.003"
"Var_30"," 0.001"," 0.000"," 2.322"," 0.027"
"Var_91"," 0.754"," 0.397"," 1.896"," 0.068"
"Var_220"," 3.777"," 1.943"," 1.944"," 0.062"
"Var_221","-2.912"," 1.649","-1.766"," 0.088"
